percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.519
100,B2,solved,1,8,0,2,0.525
100,B3,solved,1,8,0,1,0.497
100,B4,solved,1,8,0,10,5.373
100,B5,solved,1,8,0,1,0.498
95,B1,solved,0.8680277967,7.754416733,0.04133727602,1,0.538
95,B2,solved,0.8836173641,7.712982237,0.0404367254,2,0.532
95,B3,solved,0.9063784408,7.906378441,0.03096242038,1,0.494
95,B4,solved,0.9770191627,7.816153302,1.618414262e-16,10,8.056
95,B5,solved,0.9216195478,7.37295639,5.714011007e-10,8,3.973
90,B1,solved,0.8137753487,7.551631667,0.06736171813,1,0.548
90,B2,solved,0.8136814359,7.475440952,0.07181378196,2,0.523
90,B3,solved,0.8127568816,7.812756882,0.06192484076,1,0.483
90,B4,solved,0.9540393255,7.632314604,3.554447979e-16,10,8.362
90,B5,solved,0.8977342062,7.181873674,2.26588112e-09,8,4.026
85,B1,solved,0.8045275127,7.428078207,0.06867404629,1,0.517
85,B2,solved,0.8362107378,7.302185213,0.05010674901,2,0.535
85,B3,solved,0.7191353224,7.719135322,0.09288726114,1,0.483
85,B4,solved,0.9310594882,7.448480688,1.581699153e-06,10,7.769
85,B5,solved,0.8952914749,7.162331819,1.247520879e-09,8,3.922
80,B1,solved,0.805617903,7.349374679,0.06754174134,1,0.523
80,B2,solved,0.8009582233,7.216470844,0.0517153131,2,0.514
80,B3,solved,0.6255137631,7.625513763,0.1238496815,1,0.49
80,B4,solved,0.908079651,7.26464199,1.581699154e-06,10,7.779
80,B5,solved,0.8851247188,7.080997824,4.74029542e-09,8,3.852
75,B1,solved,0.7474824478,7.119161119,0.09001539129,1,0.576
75,B2,solved,0.6768690559,6.868796652,0.09183160331,2,0.519
75,B3,solved,0.5318922039,7.531892204,0.1548121019,1,0.504
75,B4,solved,0.8850998137,7.080803292,1.581699153e-06,10,7.839
75,B5,solved,0.874257778,6.994062444,1.411826648e-08,8,3.885
70,B1,solved,0.7508785155,7.055727885,0.0878732294,1,0.519
70,B2,solved,0.7086530718,6.868285108,0.1031794606,2,0.521
70,B3,solved,0.5279888268,7.422667483,0.1550092855,1,0.479
70,B4,solved,0.8621199764,6.896964594,1.581699153e-06,10,7.835
70,B5,solved,0.860063246,6.880506018,4.765348027e-09,8,4.032
65,B1,solved,0.702039928,6.923847416,0.08578242369,1,0.529
65,B2,solved,0.6885334074,6.628494816,0.09330325163,2,0.525
65,B3,solved,0.5287792708,7.294241758,0.1538788226,1,0.494
65,B4,solved,0.8391401392,6.713125896,1.581699153e-06,10,7.995
65,B5,solved,0.8385449757,6.708359904,5.740307908e-09,8,3.975
60,B1,solved,0.7154548189,6.64587918,0.08028341346,1,0.644
60,B2,solved,0.6754165827,6.424171889,0.1046244786,2,0.519
60,B3,solved,0.5287792708,7.156308746,0.1596584367,1,0.483
60,B4,solved,0.8161603019,6.529287198,1.581699153e-06,10,8.123
60,B5,solved,0.8161562367,6.529249897,3.416439516e-10,11,5.434
55,B1,solved,0.6608134736,6.530050234,0.09753078235,1,0.53
55,B2,solved,0.653080295,6.340245805,0.1258407476,2,0.523
55,B3,solved,0.5287877931,7.013243611,0.1592726207,1,0.475
55,B4,solved,0.7827375596,6.311787718,0.0164986543,10,8.302
55,B5,solved,0.7791324121,6.358775729,0.01089617507,43,21.819
50,B1,solved,0.5994098721,6.232671934,0.1288774474,1,0.553
50,B2,solved,0.5994098721,6.101744915,0.1306413592,2,0.517
50,B3,solved,0.5300528696,6.768050811,0.175323377,1,0.484
50,B4,solved,0.6915476274,6.069989131,0.07146051565,10,7.642
50,B5,solved,0.6722897835,6.14351455,0.06911941244,30,15.059
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
