percent,code,user,ratio
100,B1,corning-1-user,1
100,B1,corning-2-user,1
100,B1,corning-3-user,1
100,B1,corning-4-user,1
100,B1,corning-5-user,1
100,B1,corning-6-user,1
100,B1,corning-7-user,1
100,B1,corning-8-user,1
100,B2,corning-1-user,1
100,B2,corning-2-user,1
100,B2,corning-3-user,1
100,B2,corning-4-user,1
100,B2,corning-5-user,1
100,B2,corning-6-user,1
100,B2,corning-7-user,1
100,B2,corning-8-user,1
100,B3,corning-1-user,1
100,B3,corning-2-user,1
100,B3,corning-3-user,1
100,B3,corning-4-user,1
100,B3,corning-5-user,1
100,B3,corning-6-user,1
100,B3,corning-7-user,1
100,B3,corning-8-user,1
100,B4,corning-1-user,1
100,B4,corning-2-user,1
100,B4,corning-3-user,1
100,B4,corning-4-user,1
100,B4,corning-5-user,1
100,B4,corning-6-user,1
100,B4,corning-7-user,1
100,B4,corning-8-user,1
100,B5,corning-1-user,1
100,B5,corning-2-user,1
100,B5,corning-3-user,1
100,B5,corning-4-user,1
100,B5,corning-5-user,1
100,B5,corning-6-user,1
100,B5,corning-7-user,1
100,B5,corning-8-user,1
95,B1,corning-1-user,0.9762385255
95,B1,corning-2-user,1
95,B1,corning-3-user,1
95,B1,corning-4-user,0.9285714421
95,B1,corning-5-user,0.9277990199
95,B1,corning-6-user,1
95,B1,corning-7-user,0.9775760486
95,B1,corning-8-user,0.9349538269
95,B2,corning-1-user,0.9762385263
95,B2,corning-2-user,1
95,B2,corning-3-user,0.9757167098
95,B2,corning-4-user,0.8571428545
95,B2,corning-5-user,0.9755588332
95,B2,corning-6-user,1
95,B2,corning-7-user,0.9755640922
95,B2,corning-8-user,0.9386115746
95,B3,corning-1-user,1
95,B3,corning-2-user,1
95,B3,corning-3-user,0.9063784408
95,B3,corning-4-user,1
95,B3,corning-5-user,1
95,B3,corning-6-user,1
95,B3,corning-7-user,1
95,B3,corning-8-user,1
95,B4,corning-1-user,0.9770191627
95,B4,corning-2-user,0.9770191627
95,B4,corning-3-user,0.9770191627
95,B4,corning-4-user,0.9770191627
95,B4,corning-5-user,0.9770191627
95,B4,corning-6-user,0.9770191627
95,B4,corning-7-user,0.9770191627
95,B4,corning-8-user,0.9770191627
95,B5,corning-1-user,0.9414229289
95,B5,corning-2-user,0.9414229288
95,B5,corning-3-user,0.9414228984
95,B5,corning-4-user,0.9414229367
95,B5,corning-5-user,0.9414229439
95,B5,corning-6-user,0.9414229242
95,B5,corning-7-user,0.9414229453
95,B5,corning-8-user,0.9414229562
90,B1,corning-1-user,0.8892481005
90,B1,corning-2-user,1
90,B1,corning-3-user,0.9824950213
90,B1,corning-4-user,0.8723868079
90,B1,corning-5-user,0.9005928841
90,B1,corning-6-user,1
90,B1,corning-7-user,0.9551520971
90,B1,corning-8-user,0.9312904853
90,B2,corning-1-user,0.8892459869
90,B2,corning-2-user,1
90,B2,corning-3-user,0.9452773318
90,B2,corning-4-user,0.8546809244
90,B2,corning-5-user,0.9535748889
90,B2,corning-6-user,1
90,B2,corning-7-user,0.955152074
90,B2,corning-8-user,0.9354212728
90,B3,corning-1-user,1
90,B3,corning-2-user,1
90,B3,corning-3-user,0.8127568816
90,B3,corning-4-user,1
90,B3,corning-5-user,1
90,B3,corning-6-user,1
90,B3,corning-7-user,1
90,B3,corning-8-user,1
90,B4,corning-1-user,0.9540393255
90,B4,corning-2-user,0.9540393255
90,B4,corning-3-user,0.9540393255
90,B4,corning-4-user,0.9540393255
90,B4,corning-5-user,0.9540393255
90,B4,corning-6-user,0.9540393255
90,B4,corning-7-user,0.9540393255
90,B4,corning-8-user,0.9540393255
90,B5,corning-1-user,0.9143136484
90,B5,corning-2-user,0.9143136484
90,B5,corning-3-user,0.9143136484
90,B5,corning-4-user,0.9143136484
90,B5,corning-5-user,0.9143136484
90,B5,corning-6-user,0.9143136484
90,B5,corning-7-user,0.9143136484
90,B5,corning-8-user,0.9143136484
85,B1,corning-1-user,0.9287155766
85,B1,corning-2-user,0.9836704657
85,B1,corning-3-user,0.8613829952
85,B1,corning-4-user,0.8318253755
85,B1,corning-5-user,1
85,B1,corning-6-user,1
85,B1,corning-7-user,0.9285713915
85,B1,corning-8-user,0.9576846446
85,B2,corning-1-user,0.9287155789
85,B2,corning-2-user,0.9576037104
85,B2,corning-3-user,0.7961625126
85,B2,corning-4-user,0.7798722363
85,B2,corning-5-user,1
85,B2,corning-6-user,1
85,B2,corning-7-user,0.9285714421
85,B2,corning-8-user,0.9807723142
85,B3,corning-1-user,1
85,B3,corning-2-user,1
85,B3,corning-3-user,0.7191353224
85,B3,corning-4-user,1
85,B3,corning-5-user,1
85,B3,corning-6-user,1
85,B3,corning-7-user,1
85,B3,corning-8-user,1
85,B4,corning-1-user,0.9310594882
85,B4,corning-2-user,0.9310594882
85,B4,corning-3-user,0.9310594882
85,B4,corning-4-user,0.9310594882
85,B4,corning-5-user,0.9310594882
85,B4,corning-6-user,0.9310594882
85,B4,corning-7-user,0.9310594882
85,B4,corning-8-user,0.9310642708
85,B5,corning-1-user,0.8949324622
85,B5,corning-2-user,0.8949324621
85,B5,corning-3-user,0.8949324623
85,B5,corning-4-user,0.8949324623
85,B5,corning-5-user,0.8949324622
85,B5,corning-6-user,0.8949324622
85,B5,corning-7-user,0.8949324622
85,B5,corning-8-user,0.8949324622
80,B1,corning-1-user,0.8515786142
80,B1,corning-2-user,0.9858624839
80,B1,corning-3-user,0.8604412977
80,B1,corning-4-user,0.8680278094
80,B1,corning-5-user,0.8690198047
80,B1,corning-6-user,0.9285713915
80,B1,corning-7-user,0.9285714284
80,B1,corning-8-user,0.9356975697
80,B2,corning-1-user,0.8341284241
80,B2,corning-2-user,0.8780527618
80,B2,corning-3-user,0.8934026385
80,B2,corning-4-user,0.7965991882
80,B2,corning-5-user,0.8690192453
80,B2,corning-6-user,0.9999999495
80,B2,corning-7-user,0.9332566076
80,B2,corning-8-user,0.9672188654
80,B3,corning-1-user,1
80,B3,corning-2-user,1
80,B3,corning-3-user,0.6255137631
80,B3,corning-4-user,1
80,B3,corning-5-user,1
80,B3,corning-6-user,1
80,B3,corning-7-user,1
80,B3,corning-8-user,1
80,B4,corning-1-user,0.908079651
80,B4,corning-2-user,0.908079651
80,B4,corning-3-user,0.908079651
80,B4,corning-4-user,0.908079651
80,B4,corning-5-user,0.908079651
80,B4,corning-6-user,0.908079651
80,B4,corning-7-user,0.908079651
80,B4,corning-8-user,0.9080844336
80,B5,corning-1-user,0.8911126395
80,B5,corning-2-user,0.8911126361
80,B5,corning-3-user,0.8911126345
80,B5,corning-4-user,0.8911126351
80,B5,corning-5-user,0.8911126348
80,B5,corning-6-user,0.8911126361
80,B5,corning-7-user,0.8911126383
80,B5,corning-8-user,0.8911126353
75,B1,corning-1-user,0.8357499426
75,B1,corning-2-user,0.9608419383
75,B1,corning-3-user,0.7905309871
75,B1,corning-4-user,0.8680278094
75,B1,corning-5-user,0.8690198047
75,B1,corning-6-user,0.9285713915
75,B1,corning-7-user,0.9285714284
75,B1,corning-8-user,0.9391433752
75,B2,corning-1-user,0.8179508251
75,B2,corning-2-user,0.8344177763
75,B2,corning-3-user,0.8116754462
75,B2,corning-4-user,0.7965991882
75,B2,corning-5-user,0.8690192453
75,B2,corning-6-user,0.9999999495
75,B2,corning-7-user,0.9285713915
75,B2,corning-8-user,0.9802894049
75,B3,corning-1-user,1
75,B3,corning-2-user,1
75,B3,corning-3-user,0.5318922039
75,B3,corning-4-user,1
75,B3,corning-5-user,1
75,B3,corning-6-user,1
75,B3,corning-7-user,1
75,B3,corning-8-user,1
75,B4,corning-1-user,0.8850998137
75,B4,corning-2-user,0.8850998137
75,B4,corning-3-user,0.8850998137
75,B4,corning-4-user,0.8850998137
75,B4,corning-5-user,0.8850998137
75,B4,corning-6-user,0.8850998137
75,B4,corning-7-user,0.8850998137
75,B4,corning-8-user,0.8851045963
75,B5,corning-1-user,0.8649197658
75,B5,corning-2-user,0.86491976
75,B5,corning-3-user,0.8649197548
75,B5,corning-4-user,0.8649197527
75,B5,corning-5-user,0.8649197499
75,B5,corning-6-user,0.8649197546
75,B5,corning-7-user,0.8649197642
75,B5,corning-8-user,0.8649197632
70,B1,corning-1-user,0.8016369119
70,B1,corning-2-user,0.8654128044
70,B1,corning-3-user,0.7852971745
70,B1,corning-4-user,0.8680278094
70,B1,corning-5-user,0.7981520269
70,B1,corning-6-user,0.9109930889
70,B1,corning-7-user,0.9285714284
70,B1,corning-8-user,0.9475581035
70,B2,corning-1-user,0.7835911261
70,B2,corning-2-user,0.7976268107
70,B2,corning-3-user,0.7807337281
70,B2,corning-4-user,0.7965991882
70,B2,corning-5-user,0.798151468
70,B2,corning-6-user,0.9576801592
70,B2,corning-7-user,0.8723867864
70,B2,corning-8-user,0.9777695027
70,B3,corning-1-user,1
70,B3,corning-2-user,1
70,B3,corning-3-user,0.5279888268
70,B3,corning-4-user,1
70,B3,corning-5-user,1
70,B3,corning-6-user,1
70,B3,corning-7-user,1
70,B3,corning-8-user,0.8946786558
70,B4,corning-1-user,0.8621199764
70,B4,corning-2-user,0.8621199764
70,B4,corning-3-user,0.8621199764
70,B4,corning-4-user,0.8621199764
70,B4,corning-5-user,0.8621199764
70,B4,corning-6-user,0.8621199764
70,B4,corning-7-user,0.8621199764
70,B4,corning-8-user,0.862124759
70,B5,corning-1-user,0.8513215541
70,B5,corning-2-user,0.8513215582
70,B5,corning-3-user,0.8513215609
70,B5,corning-4-user,0.8513215571
70,B5,corning-5-user,0.8513215615
70,B5,corning-6-user,0.851321556
70,B5,corning-7-user,0.8513215613
70,B5,corning-8-user,0.8513215569
65,B1,corning-1-user,0.6941281139
65,B1,corning-2-user,0.8409363678
65,B1,corning-3-user,0.7950102885
65,B1,corning-4-user,0.7965719632
65,B1,corning-5-user,0.8690198047
65,B1,corning-6-user,0.9285713915
65,B1,corning-7-user,0.9285714284
65,B1,corning-8-user,0.9219143996
65,B2,corning-1-user,0.7551666038
65,B2,corning-2-user,0.719617014
65,B2,corning-3-user,0.725965263
65,B2,corning-4-user,0.7257409889
65,B2,corning-5-user,0.8690192453
65,B2,corning-6-user,0.9999999495
65,B2,corning-7-user,0.9285713915
65,B2,corning-8-user,0.975148359
65,B3,corning-1-user,1
65,B3,corning-2-user,1
65,B3,corning-3-user,0.5279888268
65,B3,corning-4-user,1
65,B3,corning-5-user,1
65,B3,corning-6-user,1
65,B3,corning-7-user,1
65,B3,corning-8-user,0.7847750863
65,B4,corning-1-user,0.8391401392
65,B4,corning-2-user,0.8391401392
65,B4,corning-3-user,0.8391401392
65,B4,corning-4-user,0.8391401392
65,B4,corning-5-user,0.8391401392
65,B4,corning-6-user,0.8391401392
65,B4,corning-7-user,0.8391401392
65,B4,corning-8-user,0.8391449218
65,B5,corning-1-user,0.8375171578
65,B5,corning-2-user,0.8375171469
65,B5,corning-3-user,0.8375171443
65,B5,corning-4-user,0.8375171428
65,B5,corning-5-user,0.837517149
65,B5,corning-6-user,0.8375171475
65,B5,corning-7-user,0.8375171499
65,B5,corning-8-user,0.8375171435
60,B1,corning-1-user,0.6852611099
60,B1,corning-2-user,0.7644554779
60,B1,corning-3-user,0.7699226974
60,B1,corning-4-user,0.734852294
60,B1,corning-5-user,0.7974129774
60,B1,corning-6-user,0.9285713915
60,B1,corning-7-user,0.9285714284
60,B1,corning-8-user,0.9221470348
60,B2,corning-1-user,0.7519613786
60,B2,corning-2-user,0.6525058728
60,B2,corning-3-user,0.675609205
60,B2,corning-4-user,0.6558968778
60,B2,corning-5-user,0.797412438
60,B2,corning-6-user,0.9986488202
60,B2,corning-7-user,0.9285713915
60,B2,corning-8-user,0.9922471171
60,B3,corning-1-user,1
60,B3,corning-2-user,0.9291546268
60,B3,corning-3-user,0.5287790801
60,B3,corning-4-user,1
60,B3,corning-5-user,1
60,B3,corning-6-user,1
60,B3,corning-7-user,1
60,B3,corning-8-user,0.7293880332
60,B4,corning-1-user,0.8161603019
60,B4,corning-2-user,0.8161603019
60,B4,corning-3-user,0.8161603019
60,B4,corning-4-user,0.8161603019
60,B4,corning-5-user,0.8161603019
60,B4,corning-6-user,0.8161603019
60,B4,corning-7-user,0.8161603019
60,B4,corning-8-user,0.8161650845
60,B5,corning-1-user,0.815853035
60,B5,corning-2-user,0.815853035
60,B5,corning-3-user,0.8158530351
60,B5,corning-4-user,0.8158530351
60,B5,corning-5-user,0.815853035
60,B5,corning-6-user,0.815853035
60,B5,corning-7-user,0.815853035
60,B5,corning-8-user,0.8158530351
55,B1,corning-1-user,0.6681338437
55,B1,corning-2-user,0.705032573
55,B1,corning-3-user,0.7304172359
55,B1,corning-4-user,0.7707956883
55,B1,corning-5-user,0.7517016358
55,B1,corning-6-user,0.9285713915
55,B1,corning-7-user,0.8880125418
55,B1,corning-8-user,0.9382313962
55,B2,corning-1-user,0.7285620368
55,B2,corning-2-user,0.6634993186
55,B2,corning-3-user,0.6166056913
55,B2,corning-4-user,0.660683736
55,B2,corning-5-user,0.7454603416
55,B2,corning-6-user,0.997298269
55,B2,corning-7-user,0.8880125336
55,B2,corning-8-user,1
55,B3,corning-1-user,0.9838772344
55,B3,corning-2-user,0.8136899636
55,B3,corning-3-user,0.5292379215
55,B3,corning-4-user,1
55,B3,corning-5-user,1
55,B3,corning-6-user,1
55,B3,corning-7-user,1
55,B3,corning-8-user,0.7212263001
55,B4,corning-1-user,0.7926121047
55,B4,corning-2-user,0.7926121047
55,B4,corning-3-user,0.7926121047
55,B4,corning-4-user,0.7926121047
55,B4,corning-5-user,0.7926121047
55,B4,corning-6-user,0.7926121047
55,B4,corning-7-user,0.7926121047
55,B4,corning-8-user,0.7952732609
55,B5,corning-1-user,0.7927119351
55,B5,corning-2-user,0.7926807757
55,B5,corning-3-user,0.7924003859
55,B5,corning-4-user,0.7931639194
55,B5,corning-5-user,0.793307073
55,B5,corning-6-user,0.7935766225
55,B5,corning-7-user,0.7937690402
55,B5,corning-8-user,0.7943227594
50,B1,corning-1-user,0.5994098721
50,B1,corning-2-user,0.6526591479
50,B1,corning-3-user,0.6468965509
50,B1,corning-4-user,0.8003797951
