percent,code,status,worst,total,spread,programmes,seconds
100,B1,solved,1,8,0,1,0.574
100,B2,solved,1,8,0,2,0.571
100,B3,solved,1,8,0,1,0.515
100,B4,solved,1,8,0,10,5.742
100,B5,solved,1,8,0,1,0.547
95,B1,solved,0.8806641277,7.815212979,0.03849923221,1,0.567
95,B2,solved,0.8357911564,7.755955479,0.05269467966,2,0.598
95,B3,solved,0.9063784408,7.906378441,0.03096242038,1,0.531
95,B4,solved,0.9770191627,7.816153302,1.110223025e-16,10,9.111
95,B5,solved,0.9236837493,7.389470065,5.70264013e-09,8,4.089
90,B1,solved,0.8571428177,7.680257292,0.04687386208,1,0.572
90,B2,solved,0.8891033617,7.715219209,0.03896030231,2,0.599
90,B3,solved,0.8127568816,7.812756882,0.06192484076,1,0.529
90,B4,solved,0.9540393255,7.632314604,2.185476209e-16,10,8.964
90,B5,solved,0.9124010025,7.299208042,2.612307111e-09,7,3.672
85,B1,solved,0.8571428177,7.578431657,0.05653727334,1,0.574
85,B2,solved,0.8306593876,7.52411194,0.06280420593,2,0.594
85,B3,solved,0.7191353224,7.719135322,0.09288726114,1,0.531
85,B4,solved,0.9310594882,7.448480688,1.581699153e-06,10,8.537
85,B5,solved,0.8996250098,7.197000094,1.497165324e-09,8,4.131
80,B1,solved,0.7822070861,7.481984273,0.07577910625,1,0.575
80,B2,solved,0.7570210801,7.334269636,0.09888010131,2,0.569
80,B3,solved,0.6255137631,7.625513763,0.1238496815,1,0.52
80,B4,solved,0.908079651,7.26464199,1.581699153e-06,10,8.671
80,B5,solved,0.8857529326,7.086023497,2.852020896e-09,8,4.176
75,B1,solved,0.6978988742,7.379341484,0.09322726288,1,0.589
75,B2,solved,0.6878029334,7.070829068,0.08708163886,2,0.594
75,B3,solved,0.5318922039,7.531892204,0.1548121019,1,0.546
75,B4,solved,0.8850998137,7.080803292,1.581699154e-06,10,8.781
75,B5,solved,0.8657302577,6.92584207,5.905616832e-10,8,4.087
70,B1,solved,0.7880990003,6.980397852,0.07207706978,1,0.613
70,B2,solved,0.5885296558,6.522520694,0.1241655495,2,0.59
70,B3,solved,0.5279888268,7.422667483,0.1550092855,1,0.521
70,B4,solved,0.8621199764,6.896964594,1.581699152e-06,10,8.632
70,B5,solved,0.8586642825,6.869314278,1.342741266e-09,8,4.07
65,B1,solved,0.6582721017,6.868033994,0.09420654813,1,0.585
65,B2,solved,0.6266978745,6.505065937,0.1262063402,2,0.566
65,B3,solved,0.5287792708,7.294241758,0.1538788226,1,0.518
65,B4,solved,0.8391401392,6.713125896,1.581699154e-06,10,9.895
65,B5,solved,0.8373473604,6.698778894,1.115024254e-09,8,4.272
60,B1,solved,0.6566837701,6.713006247,0.0971710716,1,0.585
60,B2,solved,0.6544170087,6.326501211,0.123518554,2,0.6
60,B3,solved,0.5287792708,7.156308746,0.1596584367,1,0.515
60,B4,solved,0.8161603019,6.529287198,1.581699153e-06,10,9.093
60,B5,solved,0.8161555467,6.529244397,1.68860126e-09,11,5.963
55,B1,solved,0.6615267056,6.525086457,0.1037576177,1,0.591
55,B2,solved,0.6538760146,6.306575919,0.1234268708,2,0.59
55,B3,solved,0.5287877931,7.013243611,0.1592726207,1,0.543
55,B4,solved,0.7824972955,6.311076564,0.01689914136,12,10.62
55,B5,solved,0.7796669891,6.358562846,0.01108812487,47,26.307
50,B1,solved,0.6096316445,6.225883523,0.1333518008,1,0.602
50,B2,solved,0.6011778873,6.176630313,0.1454644594,2,0.57
50,B3,solved,0.5299824794,6.768044814,0.1753952597,1,0.543
50,B4,solved,0.6915476274,6.015002019,0.07563934979,25,16.685
50,B5,solved,0.6718401875,6.143154604,0.06913933935,25,13.233
45,B1,infeasible,,,,,
45,B2,infeasible,,,,,
45,B3,infeasible,,,,,
45,B4,infeasible,,,,,
45,B5,infeasible,,,,,
40,B1,infeasible,,,,,
40,B2,infeasible,,,,,
40,B3,infeasible,,,,,
40,B4,infeasible,,,,,
40,B5,infeasible,,,,,
35,B1,infeasible,,,,,
35,B2,infeasible,,,,,
35,B3,infeasible,,,,,
35,B4,infeasible,,,,,
35,B5,infeasible,,,,,
30,B1,infeasible,,,,,
30,B2,infeasible,,,,,
30,B3,infeasible,,,,,
30,B4,infeasible,,,,,
30,B5,infeasible,,,,,
